"nombre","pob"
"Chacras Oeste","1564"
"Chacras Tres Pinos, Cañadones","362"
"Malvinas Argentinas","2513"
"Gobernador Roque González","547"
"Bellavista Sur","989"
"Padre Corti","0"
"Laprida","3761"
"Centro Cívico General Solari","1491"
"Pueyrredón","9279"
"Teniente General Julio Argentino Roca","3212"
"General Enrique Mosconi","7829"
"Nuestra Señora de la Divina Providencia","1579"
"Las Orquídeas","2832"
"Centro","13855"
"Ceferino Namuncurá","8640"
"25 de Mayo","1618"
"Presidente Ortiz","4214"
"Próspero Palazzo","7583"
"Gasoducto","393"
"Ciudadela","1513"
"El Atardecer","313"
"Los Arenales","198"
"Chacras La Herradura, Refugio Lobos","0"
"Lotes Pastoriles Noroeste","0"
"Chacras Minas George Stephenson, Sol de Mayo y San Jorge","206"
"Ex Radio Estación YPF","1044"
"Bellavista Norte","669"
"Pietrobelli y Balcón del Paraíso","3429"
"Humberto Beghin","3404"
"30 de Octubre","3267"
"Saavedra","1773"
"Stella Maris","953"
"Standard Norte","7507"
"Don Bosco","8602"
"Gobernador Fontana","1478"
"Standard Sur","911"
"Diadema Argentina","0"
"Manantial Rosales","764"
"Astra","329"
"Caleta Córdova","823"
"Quirno Costa","3982"
"Jorge Newbery","5116"
"Juan XXIII","3896"
"Máximo Abásolo","10413"
"Acceso Noroeste","0"
"Aeropuerto","162"
"Cuarteles Chacabuco","413"
"Doctor René Gerónimo Favaloro","3931"
"ARA San Juan","1400"
"Centenario","605"
"Gesta de Malvinas","489"
"Acceso Sur Fracción 14 y 15","1709"
"Acceso Sur Industrial","304"
"Los Bretes","1300"
"Parque Industrial","198"
"Restinga Alí","1125"
"Cordón Forestal Juan Manuel Feeney","3593"
"San Isidro Labrador","2501"
"Maestro Isidro Quiroga","7342"
"Juan José Castelli","1289"
"Nicolás Rodriguez Peña","1998"
"Guemes","110"
"Sarmiento","942"
"San Cayetano","13241"
"Las Flores","4475"
"Mario Abel Amaya","6197"
"Monseñor Argimiro Daniel Moure","1351"
"La Floresta","3929"
"San Martín","5623"
"9 de Julio","1248"
"13 de Diciembre","1095"
"José Fuchs","3869"
