"nombre","pob"
"Chacras Oeste","438"
"Chacras Tres Pinos, Cañadones","223"
"Malvinas Argentinas","2764"
"Gobernador Roque González","547"
"Bellavista Sur","1094"
"Padre Corti","792"
"Laprida","4854"
"Centro Cívico General Solari","1490"
"Pueyrredón","9272"
"Teniente General Julio Argentino Roca","3210"
"General Enrique Mosconi","7361"
"Nuestra Señora de la Divina Providencia","1578"
"Las Orquídeas","2830"
"Centro","13845"
"Ceferino Namuncurá","8633"
"25 de Mayo","1194"
"Presidente Ortiz","4211"
"Próspero Palazzo","7577"
"Gasoducto","393"
"Ciudadela","1512"
"El Atardecer","313"
"Los Arenales","198"
"Chacras La Herradura, Refugio Lobos","114"
"Lotes Pastoriles Noroeste","0"
"Chacras Minas George Stephenson, Sol de Mayo y San Jorge","206"
"Ex Radio Estación YPF","324"
"Bellavista Norte","669"
"Pietrobelli y Balcón del Paraíso","3427"
"Humberto Beghin","3402"
"30 de Octubre","3265"
"Saavedra","1772"
"Stella Maris","1522"
"Standard Norte","6833"
"Don Bosco","8595"
"Gobernador Fontana","1782"
"Standard Sur","1274"
"Diadema Argentina","1397"
"Manantial Rosales","764"
"Astra","329"
"Caleta Córdova","822"
"Quirno Costa","3979"
"Jorge Newbery","4435"
"Juan XXIII","3893"
"Máximo Abásolo","10405"
"Acceso Noroeste","16"
"Aeropuerto","162"
"Cuarteles Chacabuco","413"
"Doctor René Gerónimo Favaloro","3288"
"ARA San Juan","1399"
"Centenario","605"
"Gesta de Malvinas","489"
"Acceso Sur Fracción 14 y 15","1708"
"Acceso Sur Industrial","304"
"Los Bretes","746"
"Parque Industrial","198"
"Restinga Alí","1124"
"Cordón Forestal Juan Manuel Feeney","3591"
"San Isidro Labrador","2499"
"Maestro Isidro Quiroga","7336"
"Juan José Castelli","1711"
"Nicolás Rodriguez Peña","1997"
"Guemes","110"
"Sarmiento","941"
"San Cayetano","13231"
"Las Flores","2696"
"Mario Abel Amaya","6193"
"Monseñor Argimiro Daniel Moure","1350"
"La Floresta","3551"
"San Martín","5995"
"9 de Julio","1247"
"13 de Diciembre","1094"
"José Fuchs","3866"
"Médanos","462"
